id,team,eff_q1,eff_q2,eff_q3,eff_q4,eff_q5,eff_q6,eff_q7,eff_q8,eff_q9,eff_q10,coord_q1,coord_q2,coord_q3,coord_q4,coord_q5,voice_q1,voice_q2,voice_q3,voice_q4,voice_q5,voice_q6,ovconf_q1h,ovconf_q1l,ovconf_q2h,ovconf_q2l,ovconf_q3h,ovconf_q3l,ovconf_q4h,ovconf_q4l,ovconf_q5h,ovconf_q5l,ovconf_q6h,ovconf_q6l,ovconf_q7h,ovconf_q7l,ovconf_q8h,ovconf_q8l,ovconf_q9h,ovconf_q9l,ovconf_q10h,ovconf_q10l
KPjenx7,VxWVZXy,6,7,6,6,6,6,6,6,6,4,5,2,3,4,4,4,4,4,4,3,4,33,25,2008,2005,10,5,2003,2000,30,20,2000,1960,2005,1990,33,20,700,600,15,8
8XM1vXy,VxWVZXy,5,3,5,6,3,5,6,6,5,3,5,4,4,4,3,5,4,4,3,4,4,30,20,2000,1992,50,20,2019,2000,10,3,2000,1993,2000,1993,35,29,1000,700,50,40
WXz0NPm,OlvA1P1,7,7,7,7,7,7,7,7,7,7,5,4,5,5,4,5,4,5,4,5,4,33,27,2000,1990,50,10,2000,1990,100,10,2000,1980,2005,1990,33,28,1500,1000,70,40
GxD15PN,OlvA1P1,7,2,7,7,7,7,7,7,7,7,5,4,4,5,4,4,5,5,5,5,4,35,30,2009,2007,45,20,2005,2000,50,20,1990,1980,2008,2000,32,28,1200,800,60,40
YxeoLl9,OlvA1P1,7,7,7,7,7,7,7,7,7,7,5,4,5,5,4,5,5,5,5,5,5,31,30,1995,1990,30,20,2000,1990,20,10,1970,1960,1980,1960,32,30,800,600,15,10
zP7KkP8,JlBq3PN,7,5,7,7,7,6,7,6,6,6,4,1,2,4,4,2,4,5,3,4,2,40,32,2010,2009,45,35,2005,2000,56,44,2000,1996,2000,1990,33,23,3000,2000,26,25
5P88MP9,5xOnMXW,6,5,3,4,4,2,3,2,2,5,4,4,2,5,4,3,4,4,5,2,4,60,45,2010,2000,50,40,2000,1995,45,35,1970,1960,2000,1990,35,25,1400,1000,90,80
RXKYnPe,5xOnMXW,6,5,4,7,2,5,5,6,6,4,3,2,2,4,2,3,2,1,4,4,2,35,32,2000,1950,30,15,2000,1950,5,2,2000,1950,2000,1950,34,30,1200,900,250,150
0xAJGPQ,JlBq3PN,6,6,7,7,7,4,6,6,4,6,4,2,4,4,3,4,4,3,3,4,4,25,20,1970,1950,25,20,1890,1870,53,47,1900,1890,1990,1980,32,28,990,870,45,30
5xOnqXW,JlBq3PN,6,6,6,7,6,5,4,5,4,4,3,4,4,4,4,4,2,4,3,2,2,35,33,2010,2005,68,56,2005,2002,35,25,2000,1994,1999,1996,33,30,4000,3000,28,25
JlBqYPN,5xOnMXW,6,6,5,7,4,5,5,6,5,5,4,4,4,3,3,4,4,4,4,4,4,36,31,2005,2002,35,20,2003,2000,30,20,1985,1970,1985,1970,36,30,1300,1000,80,60
8XM1qXy,ml4MwXj,6,5,7,7,6,6,3,6,3,4,2,3,1,4,2,5,5,5,4,4,5,32,31,2005,1990,10,5,2000,1980,10,5,1990,1980,1995,1980,36,32,1000,900,30,20
WXz0pPm,ml4MwXj,5,6,7,7,7,4,6,4,6,4,1,3,5,2,3,2,4,4,3,2,2,40,36,2010,2007,60,30,2002,2000,30,20,1970,1940,1990,1970,34,34,800,700,20,15
Yxeo0l9,0xAoGlQ,6,6,6,6,5,4,5,5,3,5,3,2,3,3,2,5,5,5,5,5,5,40,20,2000,1990,20,10,2000,1995,20,10,2000,1980,2000,1990,34,30,1000,800,50,40
zP7KKP8,5xO2qXW,7,6,6,7,5,4,3,5,2,4,3,4,2,3,2,5,4,5,5,5,5,40,20,2005,1990,20,10,2005,1995,40,20,1990,1970,2005,1990,34,30,1000,800,50,40
5P88oP9,JlBJYlN,7,7,6,7,5,4,3,5,1,4,3,2,2,3,2,5,5,5,5,5,5,25,15,2005,1995,20,10,2000,1996,40,20,1990,1970,2000,1990,34,30,1000,800,50,40
RXKY8Pe,DPpkGx8,6,4,6,7,6,6,5,6,6,5,4,4,4,4,3,3,4,4,4,3,4,35,30,2000,1980,50,30,2010,1990,35,25,2000,1980,2000,1980,32,28,1200,1000,60,40
BXqe5Xb,rX1wnPb,6,1,6,7,5,5,6,6,4,4,4,3,3,4,2,3,3,3,4,3,3,30,23,2008,2005,22,12,2003,2000,28,20,1990,1980,1995,1990,32,20,1000,800,54,18
EXnKYxg,rX1wnPb,7,1,6,7,3,7,5,7,4,6,5,3,3,4,2,4,4,4,4,4,4,34,24,2010,2002,30,20,2010,2000,30,20,1990,1980,1985,1980,34,28,900,700,56,46
NP97vXA,YXmyDXN,7,3,6,7,5,6,5,6,5,6,4,3,4,3,3,4,4,3,3,3,5,35,30,2012,2010,120,50,2000,1997,15,10,1990,1950,1990,1960,33,30,1200,700,30,20
GlgNzPg,YXmyDXN,6,7,7,7,7,6,7,6,5,6,4,4,5,4,4,5,5,4,4,5,5,31,30,2008,2007,60,50,2002,2000,3,2,2000,1990,1998,1995,32,28,1600,1400,70,60
oPGYjXz,DPpkGx8,6,6,5,6,4,5,5,4,5,6,5,4,3,4,4,4,4,4,4,4,5,32,30,2010,2005,50,30,2005,2000,13,10,2000,1995,2005,2000,34,32,1100,1000,50,40
VX2m6l9,8xNAJXm,7,7,7,7,5,6,7,7,6,7,5,3,4,5,5,3,3,4,4,3,3,35,28,2011,2010,100,20,2000,1900,100,40,2000,1990,2000,1980,35,25,1500,720,100,40
JPRoKly,8xNAJXm,7,6,7,7,4,3,5,5,6,7,5,3,5,5,4,5,5,5,4,3,4,38,30,2005,1990,40,20,2005,2000,4,2,2000,1980,1999,1997,30,26,1200,800,70,50
YXmyDXN,8xNAJXm,6,5,6,6,1,6,5,6,5,7,4,3,5,4,2,2,2,2,2,4,1,33,28,2008,2006,50,30,2004,2000,6,2,1996,1980,1996,1980,32,28,10000,800,75,45
DPpkGx8,8xNAJXm,6,5,6,5,4,5,6,5,7,6,4,4,5,4,3,5,5,4,3,4,4,33,30,2005,2003,60,40,2001,1999,2,2,2000,1998,2000,1990,35,30,1100,1000,60,50
2PyOwXW,8xNAJXm,6,5,5,5,4,4,6,5,7,7,4,3,4,4,4,3,4,5,4,3,4,33,30,2008,2006,40,20,2005,2001,3,2,2000,1998,2000,1995,35,30,1200,900,55,45
mPZ9Yxv,5xOnqXW,6,3,5,6,4,6,5,6,4,6,4,4,4,4,4,4,4,4,4,4,4,28,28,2008,2004,30,20,2001,2001,5,3,1980,1950,1998,1998,32,32,950,900,60,50
8xNAJXm,KPjegx7,3,6,6,7,5,4,3,5,2,3,4,3,4,2,3,5,5,5,5,5,5,31,31,2007,2007,25,20,2010,2005,5,2,1960,1950,1990,1980,32,28,700,650,50,40
WlQnRX0,5xOnqXW,5,1,5,7,3,6,6,6,4,3,4,4,4,4,4,5,3,5,3,4,5,32,28,1970,1950,15,10,1980,1970,5,1,1920,1910,1990,1980,32,1,1200,900,80,70
Bl6eNPb,rX1wnPb,6,6,3,7,2,2,5,5,2,4,2,2,2,2,2,4,4,4,4,4,3,29,27,2008,2006,50,30,2003,2000,20,10,1995,1990,1997,1990,34,32,1200,900,60,50
qX0d3XD,gxwyalv,7,1,5,7,4,7,6,7,4,6,4,3,2,4,2,4,5,4,4,4,5,35,25,2005,2000,80,50,2003,2001,130,60,1930,1850,1965,1950,34,30,1000,600,45,30
ml4MwXj,gxwyalv,6,2,7,7,7,4,6,7,4,6,4,2,3,4,5,5,5,3,4,5,5,31,30,2006,2004,39,10,2000,1996,4,2,1990,1970,2030,1971,34,27,1000,900,50,40
7lEA9lQ,rX1wnPb,5,5,6,7,5,6,5,5,5,5,4,3,2,3,3,4,4,4,3,4,4,31,31,2010,2005,50,45,2001,2000,25,15,2000,1990,1990,1985,33,30,1200,800,55,50
oXoqeP0,VxWvAXy,6,6,3,6,6,5,6,2,3,5,4,4,4,3,3,5,5,5,4,4,4,33,30,2008,2006,30,25,2002,2000,25,20,1990,1985,1995,1990,32,28,1000,800,45,40
jXVAWle,zP7KKP8,7,5,7,7,6,6,7,7,7,6,4,4,4,4,3,4,5,4,4,4,5,36,30,2000,1990,60,40,2005,2000,7,3,1990,1980,1995,1985,34,30,1200,800,110,70
8PYv8lL,zP7KKP8,6,6,7,7,6,7,7,7,7,6,4,4,4,4,4,4,4,3,4,4,4,32,31,2008,2007,44,44,2001,2000,23,20,1992,1991,1994,1993,32,32,1000,500,60,50
ePbaqxJ,5P88oP9,7,4,7,7,6,6,6,5,6,6,5,2,4,4,3,5,4,5,4,4,4,34,31,2000,1995,15,10,1995,1985,5,3,1990,1950,2000,1990,38,34,2200,1900,65,45
rlLNAx2,5P88oP9,6,2,7,6,6,6,6,7,4,6,4,4,3,4,4,3,5,4,4,4,4,32,30,2008,2004,25,15,2004,1998,20,10,1970,1950,1980,1970,32,28,1200,1100,70,50
gxwyalv,5P88oP9,6,6,7,7,6,6,6,6,5,5,4,3,4,4,3,4,4,4,4,5,5,34,30,2007,2007,100,80,2004,2002,4,2,1995,1990,1998,1995,32,28,1000,800,60,50
ylrepPL,5P88oP9,6,4,7,7,7,5,6,5,4,6,4,2,2,3,2,4,4,5,4,4,5,35,31,2005,2000,80,50,2005,2000,30,20,1960,1930,1990,1980,32,30,1000,900,100,70
2PJKklO,5P88oP9,7,6,7,7,6,5,6,4,6,5,3,2,2,4,3,3,4,4,4,4,3,35,30,1390,1384,100,40,1385,1378,5,2,1385,1378,1385,1378,32,26,250,120,80,50
RX5ybXO,zP7KKP8,7,6,7,7,6,7,7,7,7,7,4,5,5,5,4,5,5,5,4,4,5,34,31,2010,1998,45,35,2005,1990,7,3,2005,1985,2000,1985,34,30,1100,900,95,80
VxWvAXy,zP7KKP8,7,2,7,7,6,7,6,6,1,6,4,4,5,4,4,4,4,4,4,3,4,35,30,2010,2005,30,20,2010,2000,15,10,2000,1980,2010,2000,32,32,1800,1500,50,40
Olv9DP1,KPjegx7,7,5,7,7,5,6,1,7,1,6,4,2,2,3,1,4,4,4,4,5,5,33,30,2002,2000,20,10,2012,2008,15,10,1998,1980,1998,1980,35,30,1000,80,120,80
0xAoGlQ,KPjegx7,7,6,6,7,4,5,4,5,3,4,4,2,2,3,3,4,5,4,4,5,4,37,32,2004,2002,10,5,2002,2000,250,150,19900,1970,2000,1995,32,30,25000,20000,100,80
rX1dnlb,5P88oP9,7,7,7,7,5,5,4,6,5,6,5,2,1,4,2,5,5,5,5,5,5,34,28,2005,2002,24,17,2002,2000,4,2,1980,1960,1985,1980,38,34,650,400,55,43
5xO2qXW,rX1dnlb,6,7,6,7,6,5,6,6,6,6,5,5,5,3,4,4,3,4,4,3,4,32,31,2008,2007,30,20,2004,2002,7,4,1995,1985,2000,1998,32,28,1000,800,60,50
JlBJYlN,WXz0pPm,7,7,1,6,1,6,5,1,5,1,4,1,4,3,1,4,2,2,3,4,2,40,30,2010,2000,60,10,2002,1990,40,10,1980,1940,2000,1990,35,30,13000,900,60,40
KPjEgx7,VxWvAXy,7,6,7,7,6,6,4,6,4,6,4,4,4,4,4,4,4,4,4,4,4,35,30,2002,2000,150,100,2000,1995,30,20,1950,1950,1950,1950,32,32,1000,900,50,45
WXzqplm,5xO2qXW,5,3,5,6,2,3,4,5,1,3,2,3,4,2,2,2,4,4,3,2,3,35,30,2011,2007,40,30,2003,1998,10,4,2000,1990,2000,1990,32,28,1200,900,55,45
GxDEwPN,WXz0pPm,5,5,6,7,4,5,4,6,5,4,3,2,2,4,2,4,5,5,4,3,5,30,28,2010,2005,14,10,2000,1990,15,8,1980,1950,1990,1970,24,20,500,100,8,3
Yxe40X9,WXz0pPm,5,5,6,6,3,4,5,4,3,5,4,3,4,3,4,4,4,3,4,4,3,33,28,2006,2002,21,15,2000,1995,3,2,1990,1980,2001,1987,34,30,900,700,50,40
k7lkqxD,JlBJYlN,6,6,6,7,4,5,3,5,3,3,3,3,2,2,4,2,2,2,3,2,2,32,30,2012,2010,50,30,2005,2000,50,40,2000,1990,2000,1990,32,32,900,800,50,40
5GlgzPg,4xdmYPE,7,7,7,7,6,6,6,5,7,6,4,5,2,5,4,4,4,4,4,3,4,31,30,2011,2009,50,40,2002,2000,23,20,1990,1989,1993,1992,32,30,1000,998,55,45
roPGjxz,4xdmYPE,6,3,7,6,5,6,6,6,6,5,5,3,2,4,2,4,5,5,5,3,4,33,30,2007,2007,70,50,2003,2002,7,5,1986,1985,1999,1996,32,28,1000,900,60,50
GVX26X9,4xdmYPE,7,7,7,7,7,7,7,7,6,6,5,4,2,4,4,5,5,5,4,5,5,33,29,2010,2005,60,40,2010,2005,30,20,1995,1985,1995,1990,32,28,950,900,53,48
D4xdYPE,JlBJYlN,1,1,1,1,1,1,1,1,7,1,1,1,5,2,5,5,3,3,1,3,2,9,9,8,8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9
wJPRKly,gxwyalv,7,2,7,7,7,7,5,7,4,5,2,4,2,4,1,5,5,4,4,3,4,33,32,2000,1990,60,50,2000,1990,60,50,2000,1980,1900,1880,32,32,1000,999,60,59
VYXmDlN,DPpkGx8,6,3,6,7,5,6,5,6,3,4,4,4,5,4,4,4,4,3,3,4,3,35,32,2010,2000,15,10,2010,2000,8,5,2000,1990,1985,1980,32,30,900,800,150,100
M8xNJxm,ml4MwXj,5,4,7,7,6,4,4,6,3,4,2,2,3,3,5,4,3,4,3,3,4,33,32,2005,2000,12,9,2002,1996,3,2,1990,1987,1996,1984,33,32,650,400,50,40
3Bl6Nlb,ml4MwXj,6,7,7,7,5,6,5,6,4,7,4,1,1,5,4,5,3,3,3,4,3,40,35,2009,2006,30,20,2003,2000,3,2,2000,1995,2002,1995,30,15,600,400,60,50
zml4wPj,rX1wnPb,6,2,1,7,1,1,4,4,7,6,1,1,1,2,1,5,4,3,4,3,5,32,28,2008,2005,35,25,2000,1999,5,4,1996,1990,1998,1990,32,32,1000,900,17,16
N7lE9lQ,ylrepPL,6,6,6,7,4,5,6,6,4,5,4,4,4,4,3,3,4,5,4,3,3,40,30,2000,1990,25,15,1389,1385,12,8,1978,1975,1967,1960,32,31,1000,700,100,90
1oXoeP0,VxWvAXy,6,5,6,6,6,5,6,5,5,6,3,3,4,3,4,3,5,4,4,4,4,100,50,1998,1994,10,5,2000,1985,4,2,2001,1990,2000,1950,35,30,30000,5000,1400,89
aKl3ex6,VxWvAXy,6,5,5,7,2,5,6,6,2,6,4,2,4,2,4,4,3,4,4,4,3,50,40,2012,2005,60,40,2000,1990,12,8,2000,1990,2000,1990,36,36,1200,700,60,50
eYXaMXq,JlBJYlN,6,6,6,7,6,7,7,6,6,5,5,5,2,5,4,4,4,4,4,4,4,32,31,2005,2000,15,7,2005,1997,3,2,1987,1980,1995,1988,34,32,1000,900,62,59
yjXVWxe,ylrepPL,6,5,5,7,2,5,5,5,4,6,4,3,2,4,3,4,4,4,4,4,4,37,29,2008,2004,50,30,2002,1998,12,3,1990,1960,1985,1970,32,32,1200,800,75,50
E8PY8xL,2PJKklO,7,6,6,7,6,7,7,7,7,7,4,2,3,4,4,4,5,4,4,5,4,34,30,2009,2005,50,40,2005,1990,2,2,2000,1990,1996,1980,32,30,1100,950,60,50
1ePbqxJ,2PJKklO,7,7,7,7,7,1,6,6,6,6,4,4,3,4,4,5,4,5,5,5,4,40,30,2015,2000,40,25,2008,2000,4,3,2005,1990,2010,1990,32,28,1000,900,100,40
GylrpxL,2PJKklO,7,6,6,7,5,6,5,6,4,6,5,5,3,4,5,4,4,5,4,5,3,34,30,2005,1995,180,100,1999,1995,18,10,1980,1890,1998,1960,33,27,1100,950,130,70
7RX5bxO,VxWvAXy,6,5,7,7,5,5,6,5,6,6,5,4,2,4,2,5,5,4,3,3,5,32,31,2002,2000,25,22,2003,2001,10,5,1995,1990,1995,1990,32,32,1000,900,50,40
oVxWAly,5xO2qXW,5,3,2,7,1,5,4,5,3,3,3,2,4,3,3,3,2,1,3,2,2,32,30,2009,2005,120,90,2005,2002,25,10,1990,1970,1990,1975,32,28,950,890,80,50
eOlvDx1,0xAoGlQ,7,4,7,7,6,7,4,7,3,6,4,2,3,4,2,5,5,5,4,5,5,30,23,2005,2000,25,20,2000,1998,50,40,2000,1995,1990,1980,32,32,1000,999,60,50
y0xAGlQ,rX1dnlb,6,6,7,7,6,6,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,31,30,2007,2006,8,5,2000,1995,30,20,2000,1991,1970,1960,32,29,920,850,52,45
ZrX1nxb,rX1dnlb,7,7,7,7,7,7,7,6,5,7,5,4,1,4,4,4,4,4,3,4,4,33,32,1980,1960,6,5,2000,1996,2,2,1960,1950,1960,1960,36,32,750,700,40,30
K5xOqlW,JlBJYlN,6,5,4,7,5,5,5,6,5,4,3,4,3,4,3,3,3,4,3,4,3,33,33,2008,2007,27,26,2011,2002,23,10,1991,1989,1963,1960,32,28,900,890,55,52
mJlBYPN,rX1dnlb,6,6,6,6,5,6,5,4,5,7,4,4,3,4,3,4,4,4,4,4,4,33,30,2004,2000,110,60,2000,1996,15,5,1996,1990,1996,1990,32,30,990,900,55,40
mKPjgl7,JlBJYlN,7,5,6,7,5,5,5,6,5,3,4,3,4,3,3,4,4,4,3,3,4,35,31,2005,1998,100,50,2005,1998,4,2,2005,2000,2003,1990,32,28,1800,1200,85,75
